seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
555,大字光吉1646番地の15,光吉台17組318号,光吉台二丁目,15,12,mitsuyoshidai.xlsx,,high,
556,大字光吉1646番地の16,光吉台17組310号,光吉台二丁目,15,6,mitsuyoshidai.xlsx,,high,
557,大字光吉1646番地の17,光吉台17組311号,光吉台二丁目,15,5,mitsuyoshidai.xlsx,,high,
558,大字光吉1646番地の19,光吉台18組332号,光吉台二丁目,9,12,mitsuyoshidai.xlsx,,high,
559,大字光吉1646番地の20,光吉台18組331号,光吉台二丁目,9,3,mitsuyoshidai.xlsx,,high,
560,大字光吉1646番地の22,光吉台18組329号,光吉台二丁目,9,5,mitsuyoshidai.xlsx,,high,
561,大字光吉1646番地の24,光吉台18組328号 ｿﾚｰﾕ101,光吉台二丁目,9,9,mitsuyoshidai.xlsx,,high,
562,大字光吉1646番地の24,光吉台18組328号 ｿﾚｰﾕ102,光吉台二丁目,9,9,mitsuyoshidai.xlsx,,high,
563,大字光吉1646番地の25,光吉台18組334号,光吉台二丁目,9,2,mitsuyoshidai.xlsx,,high,
564,大字光吉1646番地の28,光吉台26組444号,光吉台二丁目,11,5,mitsuyoshidai.xlsx,,high,
565,大字光吉1646番地の29,光吉台26組443号,光吉台二丁目,11,4,mitsuyoshidai.xlsx,,high,
566,大字光吉1646番地の30,光吉台27組456号,光吉台二丁目,12,16,mitsuyoshidai.xlsx,,high,
567,大字光吉1646番地の31,光吉台27組455号,光吉台二丁目,12,15,mitsuyoshidai.xlsx,,high,
568,大字光吉1646番地の32,光吉台27組460号,光吉台二丁目,12,4,mitsuyoshidai.xlsx,,high,
569,大字光吉1646番地の33,光吉台28組327号,光吉台二丁目,14,1,mitsuyoshidai.xlsx,,high,
570,大字光吉1646番地の34,光吉台28組326号,光吉台二丁目,14,12,mitsuyoshidai.xlsx,,high,
571,大字光吉1646番地の35,光吉台28組325号,光吉台二丁目,14,11,mitsuyoshidai.xlsx,,high,
572,大字光吉1646番地の36,光吉台28組319号,光吉台二丁目,14,4,mitsuyoshidai.xlsx,,high,
573,大字光吉1646番地の38,光吉台11組172号,光吉台一丁目,6,14,mitsuyoshidai.xlsx,,high,
574,大字光吉1646番地の39,光吉台11組173号,光吉台一丁目,6,13,mitsuyoshidai.xlsx,,high,
575,大字光吉1646番地の4,光吉台26組441-1号,光吉台二丁目,11,1,mitsuyoshidai.xlsx,,high,
576,大字光吉1646番地の41,光吉台11組175号,光吉台一丁目,6,10,mitsuyoshidai.xlsx,,high,
577,大字光吉1646番地の42,,光吉台一丁目,6,11,mitsuyoshidai.xlsx,,high,
578,大字光吉1646番地の43,光吉台11組176号,光吉台一丁目,6,12,mitsuyoshidai.xlsx,,high,
579,大字光吉1646番地の44,光吉台16組177号,光吉台一丁目,25,1,mitsuyoshidai.xlsx,,high,
580,大字光吉1646番地の5,光吉台26組442号,光吉台二丁目,11,3,mitsuyoshidai.xlsx,,high,
581,大字光吉1646番地の55,光吉台17組318号,光吉台二丁目,15,11,mitsuyoshidai.xlsx,,high,
582,大字光吉1646番地の59,光吉台26組441-2号,光吉台二丁目,11,2,mitsuyoshidai.xlsx,,high,
583,大字光吉1646番地の6,光吉台27組457号,光吉台二丁目,12,1,mitsuyoshidai.xlsx,,high,
584,大字光吉1646番地の7,光吉台27組459号,光吉台二丁目,12,3,mitsuyoshidai.xlsx,,high,
585,大字光吉1646番地の8,光吉台27組458号,光吉台二丁目,12,2,mitsuyoshidai.xlsx,,high,
586,大字光吉1646番地の8,光吉台27班458号,光吉台二丁目,12,2,mitsuyoshidai.xlsx,,high,
587,大字光吉1646番地の9,光吉台17組315号,光吉台二丁目,15,15,mitsuyoshidai.xlsx,,high,
588,大字光吉1653番地の1,光吉台18組H34-1号,光吉台二丁目,9,10,mitsuyoshidai.xlsx,,high,
589,大字光吉1653番地の3,光吉台18組H34-2号,光吉台二丁目,9,11,mitsuyoshidai.xlsx,,high,
590,大字光吉1659番地の2,光吉台28組H30号,光吉台二丁目,14,3,mitsuyoshidai.xlsx,,high,
591,大字光吉1659番地の3,光吉台28組H29号,光吉台二丁目,14,2,mitsuyoshidai.xlsx,,high,
592,大字光吉1661番地の1,光吉台18組H31号,光吉台二丁目,9,8,mitsuyoshidai.xlsx,,high,
593,大字光吉1661番地の3,光吉台18組H32号 ｻﾆｰｳｪﾙA,光吉台二丁目,9,6,mitsuyoshidai.xlsx,,high,
594,大字光吉1661番地の3,光吉台18組H32号,光吉台二丁目,9,7,mitsuyoshidai.xlsx,,high,
595,大字光吉1668番地の1,光吉台16組180号,光吉台一丁目,25,9,mitsuyoshidai.xlsx,,high,
596,大字光吉1668番地の10,光吉台5組72号,光吉台一丁目,18,3,mitsuyoshidai.xlsx,,high,
597,大字光吉1668番地の12,光吉台5組67-2号,光吉台一丁目,18,10,mitsuyoshidai.xlsx,,high,
598,大字光吉1668番地の13,光吉台5組68号,光吉台一丁目,18,11,mitsuyoshidai.xlsx,,high,
599,大字光吉1668番地の14,光吉台5組69号,光吉台一丁目,18,12,mitsuyoshidai.xlsx,,high,
600,大字光吉1668番地の15,光吉台12組201号,光吉台一丁目,23,1,mitsuyoshidai.xlsx,,high,
601,大字光吉1668番地の16,光吉台12組202号,光吉台一丁目,23,12,mitsuyoshidai.xlsx,,high,
602,大字光吉1668番地の17,光吉台12組203号,光吉台一丁目,23,11,mitsuyoshidai.xlsx,,high,
603,大字光吉1668番地の19,光吉台13組208号,光吉台一丁目,23,3,mitsuyoshidai.xlsx,,high,
604,大字光吉1668番地の20,光吉台13組209号,光吉台一丁目,23,2,mitsuyoshidai.xlsx,,high,
605,大字光吉1668番地の23,光吉台5組60号,光吉台一丁目,19,13,mitsuyoshidai.xlsx,,high,
606,大字光吉1668番地の24,光吉台5組61-1号,光吉台一丁目,19,12,mitsuyoshidai.xlsx,,high,
607,大字光吉1668番地の26,光吉台5組63号,光吉台一丁目,19,9,mitsuyoshidai.xlsx,,high,
608,大字光吉1668番地の27,光吉台4組56号,光吉台一丁目,19,17,mitsuyoshidai.xlsx,,high,
609,大字光吉1668番地の28,光吉台4組57号,光吉台一丁目,19,16,mitsuyoshidai.xlsx,,high,
610,大字光吉1668番地の29,光吉台4組58号,光吉台一丁目,19,15,mitsuyoshidai.xlsx,,high,
611,大字光吉1668番地の30,光吉台4組59号,光吉台一丁目,19,14,mitsuyoshidai.xlsx,,high,
612,大字光吉1668番地の31,光吉台14組219号,光吉台一丁目,21,7,mitsuyoshidai.xlsx,,high,
613,大字光吉1668番地の33,光吉台4組230号,光吉台一丁目,20,18,mitsuyoshidai.xlsx,,high,
614,大字光吉1668番地の34,光吉台4組231号,光吉台一丁目,20,17,mitsuyoshidai.xlsx,,high,
615,大字光吉1668番地の35,光吉台4組232号,光吉台一丁目,20,16,mitsuyoshidai.xlsx,,high,
616,大字光吉1668番地の36,光吉台4組233号,光吉台一丁目,20,15,mitsuyoshidai.xlsx,,high,
617,大字光吉1668番地の36,光吉台4組233号,光吉台一丁目,20,14,mitsuyoshidai.xlsx,,high,
618,大字光吉1668番地の4,光吉台6組80号,光吉台一丁目,15,1,mitsuyoshidai.xlsx,,high,
619,大字光吉1668番地の43,光吉台16組179号,光吉台一丁目,25,10,mitsuyoshidai.xlsx,,high,
620,大字光吉1668番地の44,光吉台16組178号,光吉台一丁目,25,11,mitsuyoshidai.xlsx,,high,
621,大字光吉1668番地の45,光吉台16組186-1号,光吉台一丁目,25,3,mitsuyoshidai.xlsx,,high,
622,大字光吉1668番地の46,光吉台16組185号,光吉台一丁目,25,4,mitsuyoshidai.xlsx,,high,
623,大字光吉1668番地の47,光吉台16組184号,光吉台一丁目,25,5,mitsuyoshidai.xlsx,,high,
624,大字光吉1668番地の50,光吉台12組190号,光吉台一丁目,24,12,mitsuyoshidai.xlsx,,high,
625,大字光吉1668番地の51,光吉台12組189号,光吉台一丁目,24,13,mitsuyoshidai.xlsx,,high,
626,大字光吉1668番地の53,光吉台12組187号,光吉台一丁目,24,1,mitsuyoshidai.xlsx,,high,
627,大字光吉1668番地の54,光吉台12組200号,光吉台一丁目,24,2,mitsuyoshidai.xlsx,,high,
628,大字光吉1668番地の55,光吉台12組199号,光吉台一丁目,24,3,mitsuyoshidai.xlsx,,high,
629,大字光吉1668番地の56,光吉台12組198号,光吉台一丁目,24,4,mitsuyoshidai.xlsx,,high,
630,大字光吉1668番地の57,光吉台12組197号,光吉台一丁目,24,5,mitsuyoshidai.xlsx,,high,
631,大字光吉1668番地の58,光吉台12組196号,光吉台一丁目,24,6,mitsuyoshidai.xlsx,,high,
632,大字光吉1668番地の6,光吉台6組78号,光吉台一丁目,15,10,mitsuyoshidai.xlsx,,high,
633,大字光吉1668番地の60,光吉台4組230号,光吉台一丁目,20,19,mitsuyoshidai.xlsx,,high,
634,大字光吉1668番地の61,光吉台16組186-2号,光吉台一丁目,25,2,mitsuyoshidai.xlsx,,high,
635,大字光吉1668番地の63,光吉台5組61-2号,光吉台一丁目,19,11,mitsuyoshidai.xlsx,,high,
636,大字光吉1668番地の64,光吉台5組67-1号,光吉台一丁目,18,9,mitsuyoshidai.xlsx,,high,
637,大字光吉1668番地の7,光吉台6組79号,光吉台一丁目,15,11,mitsuyoshidai.xlsx,,high,
638,大字光吉1668番地の8,光吉台5組70号,光吉台一丁目,18,1,mitsuyoshidai.xlsx,,high,
639,大字光吉1700番地の43,ｸﾞﾗﾝﾋﾞｭｰ光吉4-9,光吉台一丁目,20,7,mitsuyoshidai.xlsx,,high,
640,大字光吉1700番地の44,ｸﾞﾗﾝﾋﾞｭｰ光吉4-10,光吉台一丁目,20,8,mitsuyoshidai.xlsx,,high,
641,大字光吉1700番地の45,ｸﾞﾗﾝﾋﾞｭｰ光吉4-11,光吉台一丁目,20,9,mitsuyoshidai.xlsx,,high,
642,大字光吉1715番地の1,光吉台12組204号,光吉台一丁目,23,10,mitsuyoshidai.xlsx,,high,
643,大字光吉1715番地の10,光吉台14組238号,光吉台一丁目,20,4,mitsuyoshidai.xlsx,,high,
644,大字光吉1715番地の11,光吉台4組236号,光吉台一丁目,20,11,mitsuyoshidai.xlsx,,high,
645,大字光吉1715番地の12,光吉台4組237号,光吉台一丁目,20,10,mitsuyoshidai.xlsx,,high,
646,大字光吉1715番地の16,光吉台13組207号,光吉台一丁目,23,4,mitsuyoshidai.xlsx,,high,
647,大字光吉1715番地の17,光吉台13組206号,光吉台一丁目,23,5,mitsuyoshidai.xlsx,,high,
648,大字光吉1715番地の21,光吉台13組210号,光吉台一丁目,22,1,mitsuyoshidai.xlsx,,high,
649,大字光吉1715番地の22,光吉台13組218号,光吉台一丁目,22,2,mitsuyoshidai.xlsx,,high,
650,大字光吉1715番地の23,光吉台13組217号,光吉台一丁目,22,5,mitsuyoshidai.xlsx,,high,
651,大字光吉1715番地の24,光吉台13組216号,光吉台一丁目,22,6,mitsuyoshidai.xlsx,,high,
652,大字光吉1715番地の26,光吉台14組224号,光吉台一丁目,21,1,mitsuyoshidai.xlsx,,high,
